"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2023-07-21","15:48:00",4539.46,"15 Jul 27 4500 P STO 10.70 | 15 Jul 27 4605 C STO 5.20 | 15 Jul 28 4500 P BTO 13.00 | 15 Jul 28 4605 C BTO 6.80",-395,4602.58,"2023-07-27","09:33:00",-535,"Profit Target",1956,15,121482.6,5925,"",72,72,0.8,0.567,15.29,-10.7,37.97,-25.32
"2023-07-14","15:48:00",4500.85,"16 Jul 20 4470 P STO 8.95 | 16 Jul 20 4560 C STO 3.70 | 16 Jul 21 4470 P BTO 11.00 | 16 Jul 21 4560 C BTO 5.30",-370,4573.28,"2023-07-19","09:37:00",-440,"Below Delta",966.4,16,119526.6,5920,"",76.8,76.8,0.78,0.833,4.57,-13.76,27.03,-2.7
"2023-07-07","15:48:00",4406.62,"16 Jul 13 4370 P STO 9.40 | 16 Jul 13 4470 C STO 4.00 | 16 Jul 14 4370 P BTO 11.60 | 16 Jul 14 4470 C BTO 5.40",-365,4482.86,"2023-07-12","09:49:00",-405,"Below Delta",486.4,16,118560.2,5840,"",76.8,76.8,0.79,0.853,-7.05,2.08,21.92,-1.37
"2023-06-30","15:48:00",4453.22,"11 Jul 6 4425 P STO 7.15 | 11 Jul 6 4500 C STO 3.80 | 11 Jul 7 4425 P BTO 10.15 | 11 Jul 7 4500 C BTO 6.00",-525,4408.01,"2023-07-06","09:32:00",-560,"Above Delta",279.4,11,118073.8,5775,"",52.8,52.8,0.68,0.774,26,30.78,22.86,-45.71
"2023-06-23","15:48:00",4352.29,"15 Jun 29 4320 P STO 8.00 | 15 Jun 29 4410 C STO 3.75 | 15 Jun 30 4320 P BTO 10.00 | 15 Jun 30 4410 C BTO 5.40",-370,4381.82,"2023-06-27","14:32:00",-500,"Profit Target",1806,15,117794.4,5550,"",72,72,0.76,0.582,-27.72,-1.88,37.84,-1.35
"2023-06-16","15:48:00",4419.83,"14 Jun 22 4385 P STO 8.00 | 14 Jun 22 4475 C STO 3.60 | 14 Jun 23 4385 P BTO 10.20 | 14 Jun 23 4475 C BTO 5.40",-405,4369,"2023-06-21","09:55:00",-355,"Above Delta",-834.4,14,115988.4,5670,"",67.2,67.2,0.74,0.865,15.11,-21.12,2.47,-33.33
"2023-06-09","15:48:00",4301.74,"19 Jun 15 4260 P STO 10.55 | 19 Jun 15 4370 C STO 4.80 | 19 Jun 16 4260 P BTO 12.30 | 19 Jun 16 4370 C BTO 6.00",-300,4354.6,"2023-06-13","09:32:00",-420,"Profit Target",2097.6,19,116822.8,5700,"",91.2,91.2,0.84,0.835,10.95,-3.14,41.67,-5
"2023-05-26","15:48:00",4207.95,"8 Jun 1 4155 P STO 13.30 | 8 Jun 1 4275 C STO 5.00 | 8 Jun 2 4155 P BTO 17.00 | 8 Jun 2 4275 C BTO 7.60",-635,4175.23,"2023-06-01","09:50:00",-710,"Exited at Specified Time",523.2,8,114725.2,5080,"",38.4,38.4,0.74,0.285,4.88,51.79,12.6,-19.69
"2023-05-19","15:48:00",4190.78,"13 May 25 4150 P STO 11.25 | 13 May 25 4255 C STO 4.50 | 13 May 26 4150 P BTO 13.75 | 13 May 26 4255 C BTO 6.20",-425,4123.63,"2023-05-24","09:32:00",-455,"Above Delta",265.2,13,114202,5525,"",62.4,62.4,0.79,0.878,6.1,-13.37,16.47,-1.18
"2023-05-12","15:48:00",4118.07,"12 May 18 4075 P STO 11.45 | 12 May 18 4175 C STO 3.95 | 12 May 19 4075 P BTO 14.20 | 12 May 19 4175 C BTO 5.70",-455,4154.84,"2023-05-18","09:32:00",-620,"Profit Target",1864.8,12,113936.8,5460,"",57.6,57.6,0.77,0.302,7.92,-20.47,37.36,-10.99
"2023-05-05","15:48:00",4137.13,"13 May 11 4085 P STO 12.10 | 13 May 11 4205 C STO 4.60 | 13 May 12 4085 P BTO 14.80 | 13 May 12 4205 C BTO 6.00",-415,4117.58,"2023-05-11","09:35:00",-565,"Profit Target",1825.2,13,112072,5395,"",62.4,62.4,0.8,0.354,23.51,52.4,40.96,-36.14
"2023-04-28","15:48:00",4161.11,"9 May 4 4110 P STO 12.65 | 9 May 4 4235 C STO 5.20 | 9 May 5 4110 P BTO 16.10 | 9 May 5 4235 C BTO 7.30",-560,4122.39,"2023-05-03","15:08:00",-760,"Profit Target",1713.6,9,110246.8,5040,"",43.2,43.2,0.76,0.651,-5.72,31.48,36.61,-31.25
"2023-04-21","15:48:00",4128.99,"10 Apr 27 4085 P STO 10.00 | 10 Apr 27 4190 C STO 4.10 | 10 Apr 28 4085 P BTO 13.25 | 10 Apr 28 4190 C BTO 6.10",-530,4065.76,"2023-04-26","10:19:00",-625,"Above Delta",854,10,108533.2,5300,"",48,48,0.73,0.813,2.35,-3.15,26.42,-0.94
"2023-04-14","15:48:00",4137.26,"12 Apr 20 4095 P STO 9.40 | 12 Apr 20 4200 C STO 4.25 | 12 Apr 21 4095 P BTO 12.00 | 12 Apr 21 4200 C BTO 6.00",-440,4131.35,"2023-04-20","09:50:00",-460,"Exited at Specified Time",124.8,12,107679.2,5280,"",57.6,57.6,0.76,0.162,-6.11,-2.85,21.59,-18.18
"2023-03-24","15:48:00",3963.61,"7 Mar 30 3890 P STO 16.95 | 7 Mar 30 4050 C STO 6.35 | 7 Mar 31 3890 P BTO 21.15 | 7 Mar 31 4050 C BTO 9.15",-705,4054.25,"2023-03-30","09:50:00",-805,"Exited at Specified Time",632.8,7,107554.4,4935,"",33.6,33.6,0.77,0.581,-9.51,24.4,16.31,-31.21
"2023-03-17","15:48:00",3911.39,"9 Mar 23 3810 P STO 23.05 | 9 Mar 23 4035 C STO 9.40 | 9 Mar 24 3810 P BTO 26.70 | 9 Mar 24 4035 C BTO 11.70",-600,3974.31,"2023-03-23","09:50:00",-330,"Exited at Specified Time",-2516.4,9,106921.6,5400,"",43.2,43.2,0.85,0.107,-1.59,-47.3,9.17,-58.33
"2023-03-10","15:48:00",3850.46,"9 Mar 16 3760 P STO 21.55 | 9 Mar 16 3975 C STO 8.75 | 9 Mar 17 3760 P BTO 25.20 | 9 Mar 17 3975 C BTO 10.90",-585,3849.45,"2023-03-15","12:19:00",-790,"Profit Target",1758.6,9,109438,5265,"",43.2,43.2,0.84,0.511,-5.55,-62.31,35.9,-15.38
"2023-03-03","15:48:00",4040.46,"6 Mar 9 3985 P STO 12.40 | 6 Mar 9 4125 C STO 5.60 | 6 Mar 10 3985 P BTO 17.40 | 6 Mar 10 4125 C BTO 8.80",-825,3991.46,"2023-03-08","09:32:00",-1145,"Profit Target",1862.4,6,107679.4,4950,"",28.8,28.8,0.69,0.601,16.67,42.44,39.39,-21.21
"2023-02-24","15:48:00",3961.48,"9 Mar 2 3905 P STO 14.20 | 9 Mar 2 4045 C STO 6.15 | 9 Mar 3 3905 P BTO 17.45 | 9 Mar 3 4045 C BTO 8.40",-555,3933.68,"2023-03-02","09:50:00",-675,"Exited at Specified Time",993.6,9,105817,4995,"",43.2,43.2,0.79,0.306,-39.08,-11.76,32.43,-14.41
"2023-02-17","15:48:00",4071.78,"7 Feb 23 4020 P STO 12.40 | 7 Feb 23 4150 C STO 5.10 | 7 Feb 24 4020 P BTO 16.60 | 7 Feb 24 4150 C BTO 7.60",-675,3996.72,"2023-02-22","10:10:00",-625,"Above Delta",-417.2,7,104823.4,4725,"",33.6,33.6,0.72,0.848,-13.02,-5.61,7.41,-9.63
"2023-02-10","15:48:00",4088.41,"11 Feb 16 4005 P STO 19.15 | 11 Feb 16 4205 C STO 7.85 | 11 Feb 17 4005 P BTO 22.25 | 11 Feb 17 4205 C BTO 9.50",-480,4100.73,"2023-02-16","09:50:00",-280,"Exited at Specified Time",-2305.6,11,105240.6,5280,"",52.8,52.8,0.85,0.109,-12.58,19.49,25,-56.25
"2023-02-03","15:48:00",4130.26,"11 Feb 9 4075 P STO 14.20 | 11 Feb 9 4220 C STO 6.55 | 11 Feb 10 4075 P BTO 16.95 | 11 Feb 10 4220 C BTO 8.35",-460,4117.74,"2023-02-08","11:27:00",-625,"Profit Target",1709.4,11,107546.2,5060,"",52.8,52.8,0.82,0.535,-43.07,-6.43,39.13,-52.17
"2023-01-27","15:48:00",4079.95,"5 Feb 2 4015 P STO 15.30 | 5 Feb 2 4175 C STO 6.70 | 5 Feb 3 4015 P BTO 21.35 | 5 Feb 3 4175 C BTO 11.00",-1040,4067.3,"2023-02-01","09:46:00",-1405,"Profit Target",1777,5,105836.8,5200,"",24,24,0.68,0.53,-6.71,26.23,35.58,-6.73
"2023-01-20","15:48:00",3963.43,"10 Jan 26 3915 P STO 13.00 | 10 Jan 26 4040 C STO 5.40 | 10 Jan 27 3915 P BTO 15.85 | 10 Jan 27 4040 C BTO 7.40",-490,3957.19,"2023-01-25","10:02:00",-665,"Profit Target",1654,10,104059.8,4900,"",48,48,0.79,0.536,10.19,54.39,36.73,-2.04
"2023-01-13","15:48:00",3996.53,"10 Jan 19 3950 P STO 10.35 | 10 Jan 19 4060 C STO 5.00 | 10 Jan 20 3950 P BTO 13.05 | 10 Jan 20 4060 C BTO 7.15",-490,3933.04,"2023-01-18","15:41:00",-515,"Above Delta",154,10,102405.8,4900,"",48,48,0.76,0.829,-22.57,35.93,15.31,-13.27
"2023-01-06","15:48:00",3903.75,"14 Jan 12 3825 P STO 17.95 | 14 Jan 12 4020 C STO 7.75 | 14 Jan 13 3825 P BTO 19.95 | 14 Jan 13 4020 C BTO 9.15",-345,3936.38,"2023-01-11","09:54:00",-470,"Profit Target",1615.6,14,102251.8,4830,"",67.2,67.2,0.88,0.775,15.27,80.38,37.68,-7.25
"2022-12-23","15:48:00",3840.31,"7 Dec 29 3795 P STO 12.25 | 7 Dec 29 3915 C STO 5.20 | 7 Dec 30 3795 P BTO 16.10 | 7 Dec 30 3915 C BTO 7.90",-660,3829.58,"2022-12-29","09:50:00",-645,"Exited at Specified Time",-172.2,7,100636.2,4620,"",33.6,33.6,0.73,0.297,-7.28,25.2,27.27,-20.45
"2022-12-16","15:48:00",3861.06,"9 Dec 22 3800 P STO 14.70 | 9 Dec 22 3955 C STO 6.95 | 9 Dec 23 3800 P BTO 17.90 | 9 Dec 23 3955 C BTO 9.20",-550,3827.82,"2022-12-22","09:50:00",-695,"Exited at Specified Time",1218.6,9,100808.4,4950,"",43.2,43.2,0.8,0.343,-4.84,-29.85,31.82,-33.64
"2022-12-09","15:48:00",3945.1,"13 Dec 15 3850 P STO 22.75 | 13 Dec 15 4090 C STO 9.55 | 13 Dec 16 3850 P BTO 24.80 | 13 Dec 16 4090 C BTO 11.00",-355,3944.68,"2022-12-12","10:36:00",-480,"Profit Target",1500.2,13,99589.8,4615,"",62.4,62.4,0.9,0.875,-9.34,-9.07,36.62,-1.41
"2022-12-02","15:48:00",4063.21,"10 Dec 8 4020 P STO 11.65 | 10 Dec 8 4135 C STO 5.25 | 10 Dec 9 4020 P BTO 14.50 | 10 Dec 9 4135 C BTO 7.10",-475,3991.82,"2022-12-05","14:02:00",-490,"Above Delta",54,10,98089.6,4750,"",48,48,0.78,0.898,-36.4,23.04,26.32,-5.26
"2022-11-11","15:48:00",3996.91,"7 Nov 17 3925 P STO 17.65 | 7 Nov 17 4100 C STO 7.70 | 7 Nov 18 3925 P BTO 21.15 | 7 Nov 18 4100 C BTO 10.20",-605,3972.37,"2022-11-15","14:00:00",-820,"Profit Target",1437.8,7,98035.6,4235,"",33.6,33.6,0.81,0.727,7.35,33.19,37.19,-0.83
"2022-11-04","15:48:00",3767.24,"8 Nov 10 3680 P STO 20.85 | 8 Nov 10 3905 C STO 10.05 | 8 Nov 11 3680 P BTO 24.05 | 8 Nov 11 3905 C BTO 12.35",-555,3794.7,"2022-11-09","10:38:00",-750,"Profit Target",1483.2,8,96597.8,4440,"",38.4,38.4,0.85,0.63,47.09,0.26,36.94,-6.31
"2022-10-28","15:48:00",3899.9,"4 Nov 3 3815 P STO 21.15 | 4 Nov 3 4025 C STO 11.30 | 4 Nov 4 3815 P BTO 26.75 | 4 Nov 4 4025 C BTO 15.30",-965,3839.15,"2022-11-02","11:43:00",-1305,"Profit Target",1321.6,4,95114.6,3860,"",19.2,19.2,0.77,0.695,0.96,91.64,35.75,-8.29
"2022-10-21","15:48:00",3753.88,"5 Oct 27 3670 P STO 19.50 | 5 Oct 27 3875 C STO 11.00 | 5 Oct 28 3670 P BTO 24.30 | 5 Oct 28 3875 C BTO 14.75",-860,3847.6,"2022-10-27","09:33:00",-1165,"Profit Target",1477,5,93793,4300,"",24,24,0.78,0.388,-8.68,96.78,36.63,-3.49
"2022-10-14","15:48:00",3589.43,"5 Oct 20 3500 P STO 20.35 | 5 Oct 20 3725 C STO 9.05 | 5 Oct 21 3500 P BTO 24.85 | 5 Oct 21 3725 C BTO 12.20",-770,3696.38,"2022-10-19","12:34:00",-1040,"Profit Target",1302,5,92316,3850,"",24,24,0.79,0.6,20.5,-100.98,35.71,-8.44
"2022-10-07","15:48:00",3633.54,"6 Oct 13 3540 P STO 22.45 | 6 Oct 13 3775 C STO 9.90 | 6 Oct 14 3540 P BTO 26.90 | 6 Oct 14 3775 C BTO 12.70",-730,3598.67,"2022-10-12","09:53:00",-990,"Profit Target",1502.4,6,91014,4380,"",28.8,28.8,0.82,0.71,-37.78,-73.2,36.3,-8.22
"2022-09-30","15:48:00",3608.68,"5 Oct 6 3520 P STO 20.15 | 5 Oct 6 3735 C STO 9.05 | 5 Oct 7 3520 P BTO 25.20 | 5 Oct 7 3735 C BTO 12.80",-885,3769.35,"2022-10-04","09:58:00",-810,"Below Delta",-423,5,89511.6,4425,"",24,24,0.77,0.878,-6.99,-24.8,9.04,-28.25
"2022-09-23","15:48:00",3691.48,"4 Sep 29 3595 P STO 21.85 | 4 Sep 29 3820 C STO 8.95 | 4 Sep 30 3595 P BTO 27.95 | 4 Sep 30 3820 C BTO 12.95",-1015,3660.25,"2022-09-29","09:41:00",-1375,"Profit Target",1401.6,4,89934.6,4060,"",19.2,19.2,0.75,0.136,-30.85,-35.66,40.89,-16.75
"2022-09-16","15:48:00",3865.84,"6 Sep 22 3775 P STO 21.25 | 6 Sep 22 3995 C STO 9.50 | 6 Sep 23 3775 P BTO 25.35 | 6 Sep 23 3995 C BTO 11.95",-660,3830,"2022-09-21","14:14:00",-895,"Profit Target",1352.4,6,88533,3960,"",28.8,28.8,0.82,0.734,-20.4,-15.11,51.52,-9.09
"2022-09-09","15:48:00",4073.66,"7 Sep 15 4000 P STO 16.55 | 7 Sep 15 4175 C STO 7.70 | 7 Sep 16 4000 P BTO 20.00 | 7 Sep 16 4175 C BTO 10.30",-610,3971.29,"2022-09-13","14:36:00",-675,"Above Delta",387.8,7,87180.6,4270,"",33.6,33.6,0.8,0.877,16.76,50.72,29.51,-2.46
"2022-09-02","15:48:00",3911.67,"5 Sep 8 3840 P STO 16.05 | 5 Sep 8 4015 C STO 7.00 | 5 Sep 9 3840 P BTO 20.75 | 5 Sep 9 4015 C BTO 9.85",-760,3968.66,"2022-09-08","09:50:00",-695,"Exited at Specified Time",-373,5,86792.8,3800,"",24,24,0.75,0.3,27.81,-82.99,7.24,-9.21
"2022-08-26","15:48:00",4064.44,"5 Sep 1 3980 P STO 18.95 | 5 Sep 1 4170 C STO 8.20 | 5 Sep 2 3980 P BTO 23.45 | 5 Sep 2 4170 C BTO 11.20",-755,3983.17,"2022-08-31","12:25:00",-1020,"Profit Target",1277,5,87165.8,3775,"",24,24,0.78,0.684,-0.38,-134.3,47.68,-4.64
"2022-08-19","15:48:00",4226.88,"4 Aug 25 4170 P STO 13.90 | 4 Aug 25 4310 C STO 5.80 | 4 Aug 26 4170 P BTO 19.40 | 4 Aug 26 4310 C BTO 9.60",-935,4137.6,"2022-08-22","14:33:00",-895,"Above Delta",-198.4,4,85888.8,3740,"",19.2,19.2,0.68,0.851,-17.43,-39.43,3.74,-6.95
"2022-08-12","15:48:00",4271.3,"7 Aug 18 4215 P STO 12.65 | 7 Aug 18 4350 C STO 5.75 | 7 Aug 19 4215 P BTO 15.80 | 7 Aug 19 4350 C BTO 8.00",-545,4266.68,"2022-08-18","09:50:00",-640,"Exited at Specified Time",597.8,7,86087.2,3815,"",33.6,33.6,0.77,0.104,17.75,46.28,27.52,-10.09
"2022-08-05","15:48:00",4141.85,"7 Aug 11 4075 P STO 15.30 | 7 Aug 11 4230 C STO 6.95 | 7 Aug 12 4075 P BTO 18.55 | 7 Aug 12 4230 C BTO 9.05",-540,4204.49,"2022-08-10","11:02:00",-730,"Profit Target",1262.8,7,85489.4,3780,"",33.6,33.6,0.81,0.53,-36.07,25.98,36.11,-9.26
"2022-07-29","15:48:00",4138.52,"5 Aug 4 4080 P STO 14.75 | 5 Aug 4 4200 C STO 11.45 | 5 Aug 5 4080 P BTO 18.60 | 5 Aug 5 4200 C BTO 15.00",-745,4120.26,"2022-08-03","10:34:00",-1010,"Profit Target",1277,5,84226.6,3725,"",24,24,0.78,0.477,14.9,51.19,36.24,-6.71
"2022-07-22","15:48:00",3951.75,"5 Jul 28 3875 P STO 17.85 | 5 Jul 28 4055 C STO 8.10 | 5 Jul 29 3875 P BTO 22.35 | 5 Jul 29 4055 C BTO 10.40",-685,4021.83,"2022-07-27","15:08:00",-925,"Profit Target",1152,5,82949.6,3425,"",24,24,0.79,0.56,-0.52,-46.68,39.42,-13.14
"2022-07-15","15:48:00",3853.4,"5 Jul 21 3785 P STO 15.80 | 5 Jul 21 3945 C STO 6.80 | 5 Jul 22 3785 P BTO 19.95 | 5 Jul 22 3945 C BTO 9.60",-700,3968.59,"2022-07-20","10:53:00",-750,"Below Delta",202,5,81797.6,3500,"",24,24,0.76,0.836,27.62,35.4,24.29,-2.14
"2022-07-08","15:48:00",3904.92,"6 Jul 14 3830 P STO 17.00 | 6 Jul 14 4000 C STO 7.80 | 6 Jul 15 3830 P BTO 20.60 | 6 Jul 15 4000 C BTO 10.30",-615,3767.06,"2022-07-13","09:32:00",-545,"Above Delta",-477.6,6,81595.6,3690,"",28.8,28.8,0.8,0.93,-14.36,16.66,13.01,-13.82
"2022-07-01","15:48:00",3826.25,"4 Jul 7 3755 P STO 16.65 | 4 Jul 7 3925 C STO 6.85 | 4 Jul 8 3755 P BTO 21.65 | 4 Jul 8 3925 C BTO 10.25",-845,3887.78,"2022-07-07","09:50:00",-1120,"Exited at Specified Time",1061.6,4,82073.2,3380,"",19.2,19.2,0.74,0.154,-4.38,45.25,33.14,-5.33
"2022-06-24","15:48:00",3900.13,"5 Jun 30 3815 P STO 19.50 | 5 Jun 30 4020 C STO 8.35 | 5 Jul 1 3815 P BTO 23.40 | 5 Jul 1 4020 C BTO 11.45",-705,3813.96,"2022-06-29","15:50:00",-955,"Profit Target",1202,5,81011.6,3525,"",24,24,0.8,0.736,26.02,78.38,36.17,-16.31
"2022-06-17","15:48:00",3682.47,"4 Jun 23 3595 P STO 21.40 | 4 Jun 23 3815 C STO 9.65 | 4 Jun 24 3595 P BTO 26.70 | 4 Jun 24 3815 C BTO 13.55",-925,3778.77,"2022-06-23","09:50:00",-1135,"Exited at Specified Time",801.6,4,79809.6,3700,"",19.2,19.2,0.77,0.296,-0.87,16.57,26.49,-17.3
"2022-06-10","15:48:00",3914.42,"4 Jun 16 3825 P STO 26.45 | 4 Jun 16 4050 C STO 10.00 | 4 Jun 17 3825 P BTO 31.25 | 4 Jun 17 4050 C BTO 13.45",-830,3762.57,"2022-06-13","10:44:00",-825,"Above Delta",-58.4,4,79008,3320,"",19.2,19.2,0.82,0.923,-43.43,-59.97,4.22,-26.51
"2022-06-03","15:48:00",4108.07,"4 Jun 9 4030 P STO 18.25 | 4 Jun 9 4210 C STO 8.50 | 4 Jun 10 4030 P BTO 24.10 | 4 Jun 10 4210 C BTO 12.35",-975,4100.92,"2022-06-09","09:50:00",-1050,"Exited at Specified Time",261.6,4,79066.4,3900,"",19.2,19.2,0.73,0.083,-39.25,-29.5,26.15,-9.23
"2022-05-27","15:48:00",4144.53,"4 Jun 2 4070 P STO 17.25 | 4 Jun 2 4250 C STO 5.90 | 4 Jun 3 4070 P BTO 22.60 | 4 Jun 3 4250 C BTO 9.30",-880,4080.99,"2022-06-01","11:53:00",-1190,"Profit Target",1201.6,4,78804.8,3520,"",19.2,19.2,0.73,0.667,19.59,67.1,40.91,-6.82
"2022-05-20","15:48:00",3883.79,"4 May 26 3785 P STO 23.20 | 4 May 26 4025 C STO 9.75 | 4 May 27 3785 P BTO 28.30 | 4 May 27 4025 C BTO 12.45",-785,3997.35,"2022-05-26","09:32:00",-1175,"Profit Target",1521.6,4,77603.2,3140,"",19.2,19.2,0.81,0.47,26.97,-43.97,50.32,-15.92
"2022-05-13","15:48:00",4018.5,"4 May 19 3915 P STO 24.90 | 4 May 19 4150 C STO 11.55 | 4 May 20 3915 P BTO 29.55 | 4 May 20 4150 C BTO 14.80",-795,3963.05,"2022-05-18","12:09:00",-1075,"Profit Target",1081.6,4,76081.6,3180,"",19.2,19.2,0.82,0.56,33.82,54.6,37.11,-17.61
